Geneid,Gene Type,Product Description,BD,BD.1,BD.2,BP,BP.1,BP.2,DA,DA.1,DA.2,DD,DD.1,DD.2,DP,DP.1,DP.2
AGAP006874,protein coding gene,gustatory receptor 29,2,3,2,5,0,0,2,1,0,3,0,0,1,2,0
AGAP006875,protein coding gene,gustatory receptor 30,2,0,3,6,1,0,1,2,0,0,0,0,1,2,0
AGAP006876,protein coding gene,gustatory receptor 31,0,1,2,5,3,0,4,0,3,0,0,1,1,0,0
AGAP006877,protein coding gene,gustatory receptor 32,0,1,3,9,1,1,8,1,2,2,0,3,1,0,0
AGAP006878,protein coding gene,mitochondrial complex I protein Fmp36,542,453,476,482,610,406,313,476,223,452,505,495,231,220,302
AGAP006879,protein coding gene,F-type H+-transporting ATPase subunit e,10936,8336,10956,9344,12720,9390,4004,9824,1547,9069,10475,10727,5758,4893,7505
AGAP006880,protein coding gene,Protein LMBR1L,465,372,351,363,428,330,184,333,74,391,611,418,247,175,306
AGAP006881,protein coding gene,polypeptide N-acetylgalactosaminyltransferase,8,6,4,12,6,13,12,5,2,13,11,3,6,5,5
AGAP006882,protein coding gene,unspecified product,6,7,7,2,5,1,6,5,12,10,8,13,1,12,6
AGAP006883,protein coding gene,unspecified product,309,284,320,457,397,369,291,311,70,314,570,233,317,245,281
AGAP006884,protein coding gene,unspecified product,1221,862,750,852,761,859,662,1162,390,750,1045,797,688,447,515
AGAP006885,protein coding gene,pre-mRNA-processing factor 8,6197,4705,4190,3371,3485,3976,1965,4742,1019,4938,4920,4020,2827,2069,2950
AGAP006886,ncRNA gene,unspecified product,0,2,0,2,1,2,0,0,0,2,0,0,1,1,0
AGAP006887,protein coding gene,"dynein light chain 4, axonemal",10,8,4,9,3,7,4,5,2,6,7,7,8,8,5
AGAP006888,protein coding gene,G protein-coupled receptor kinase interactor 2,796,641,587,519,475,605,299,655,202,557,691,508,367,302,389
AGAP006889,protein coding gene,elongator complex protein 2,380,285,271,221,268,277,139,354,60,295,310,303,225,187,233
AGAP006890,protein coding gene,ADP-ribosylation factor 3,992,737,759,732,635,757,745,1039,360,877,1363,669,507,399,451
AGAP006891,protein coding gene,NADH dehydrogenase (ubiquinone) Fe-S protein 2,2,1,3,1,2,0,1,2,1,0,1,2,2,0,0
AGAP006892,protein coding gene,unspecified product,1588,1257,1269,1297,1128,1483,983,1135,857,860,873,832,655,572,647
AGAP006893,protein coding gene,unspecified product,32,32,32,34,12,26,20,48,10,24,31,20,12,7,14
AGAP006894,protein coding gene,"geranylgeranyl diphosphate synthase, type III",575,502,434,435,448,506,335,553,236,697,695,458,245,213,325
AGAP006895,protein coding gene,signal recognition particle subunit SRP19,151,159,118,179,163,114,113,178,64,160,165,168,138,96,98
AGAP006896,protein coding gene,unspecified product,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AGAP006897,protein coding gene,unspecified product,2,4,4,17,3,11,3,9,8,5,3,4,9,4,3
AGAP006898,protein coding gene,chitinase,708,714,768,579,479,886,509,653,371,451,604,539,225,270,304
AGAP006899,protein coding gene,basic tail-containing salivary secreted peptide,105,61,76,73,32,121,18,86,14,29,33,83,20,38,43
AGAP006900,protein coding gene,unspecified product,2344,1801,2052,1041,817,1182,1851,1519,1223,1870,3059,1333,342,351,302
AGAP006901,protein coding gene,unspecified product,12729,8720,11012,7121,6527,10045,3560,9743,2341,7051,8364,6373,5478,3763,5297
AGAP006902,protein coding gene,unspecified product,2646,1744,2064,2020,1378,2328,1905,2331,2504,1392,1343,1270,1220,926,902
AGAP006903,protein coding gene,ST6Gal,66,43,54,39,28,44,10,24,8,27,26,27,21,17,16
AGAP006904,protein coding gene,matrix metalloprotease 1,27282,18044,13434,12421,8912,9526,5009,8053,6026,8008,7232,13549,11645,5994,8760
AGAP006905,protein coding gene,unspecified product,6,2,0,3,2,1,1,0,0,0,2,1,1,0,0
AGAP006906,protein coding gene,Cat eye syndrome critical region protein 1,66,71,91,70,79,93,51,69,15,98,95,101,97,95,86
AGAP006907,protein coding gene,"Cat eye syndrome chromosome region, candidate 1a",273,373,387,323,418,186,108,295,40,381,400,480,245,203,311
AGAP006908,protein coding gene,VWFC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GTK7],476,296,351,341,295,425,274,390,178,211,263,223,171,152,142
AGAP006909,protein coding gene,serine protease inhibitor (serpin) 1,643,478,636,676,991,681,643,472,272,789,1740,495,464,459,544
AGAP006910,protein coding gene,serine protease inhibitor (serpin) 3,683,528,548,416,339,461,278,587,83,670,733,370,276,253,311
AGAP006911,protein coding gene,serine protease inhibitor (serpin) 2,3291,2662,2651,2025,2230,2724,2107,3999,1157,3341,5803,2719,1164,1351,1579
AGAP006913,protein coding gene,unspecified product,0,0,1,3,0,1,0,1,0,2,0,0,0,0,0
AGAP006914,protein coding gene,fibrinogen-related protein 1,16,13,12,19,7,20,0,6,2,30,20,42,13,16,8
AGAP006915,protein coding gene,unspecified product,289,224,166,262,234,264,207,296,144,299,282,268,132,116,186
AGAP006916,protein coding gene,"39S ribosomal protein L54, mitochondrial",222,182,162,230,186,200,162,217,121,161,184,157,103,77,124
AGAP006917,protein coding gene,gustatory receptor 55,9,5,6,9,14,10,2,7,2,10,23,13,2,5,9
AGAP006918,protein coding gene,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 8,4897,3596,4890,3471,3070,4644,1290,3237,815,3021,3219,2512,2347,1739,2748
AGAP006920,protein coding gene,unspecified product,32,5,11,0,4,16,4,10,0,0,0,5,1,8,1
AGAP006921,protein coding gene,PID domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0NBM1],6209,6031,4959,4499,4441,4222,3440,6812,1874,5596,7827,5718,2693,2765,3448
AGAP006922,ncRNA gene,unspecified product,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AGAP006923,protein coding gene,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QIK4],10,12,15,8,4,11,1,12,1,8,13,10,3,3,1
AGAP006924,protein coding gene,dynactin 6,169,142,114,129,99,135,95,141,97,166,141,104,65,60,58
AGAP006925,protein coding gene,Polypeptide N-acetylgalactosaminyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QIK5],1668,1184,1342,1315,1331,1409,1290,1678,969,1337,2066,1258,821,634,868
AGAP006926,protein coding gene,unspecified product,33,41,37,33,26,44,15,66,5,19,26,26,40,35,37
AGAP006927,protein coding gene,C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5TWK6],121,81,79,101,77,106,86,121,40,117,89,100,69,40,61
AGAP006928,protein coding gene,ZAD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GU97],252,208,170,178,175,190,144,210,112,258,199,164,131,101,112
AGAP006929,protein coding gene,ZAD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GUE5],247,184,137,149,125,163,140,187,101,225,170,148,75,112,97
AGAP006930,protein coding gene,unspecified product,76,63,39,67,46,60,40,65,17,84,69,61,35,50,57
AGAP006931,protein coding gene,cuticular protein RR-2 family 111,10,80,7,17,21,12,4,26,12,15,98,4,12,38,34
AGAP006932,protein coding gene,citron Rho-interacting kinase,707,565,509,556,454,539,301,627,189,613,624,457,413,268,494
AGAP006933,protein coding gene,unspecified product,562,365,375,332,305,362,194,503,104,438,373,367,264,234,273
AGAP006934,protein coding gene,unspecified product,17,14,8,17,12,16,13,13,6,23,11,11,9,11,2
AGAP006935,protein coding gene,unspecified product,6396,4293,3842,4754,3973,4676,4707,7080,4122,5555,4976,4680,3694,2738,3773
AGAP006936,protein coding gene,mitochondrial cytochrome c1 heme protein,24029,15785,19944,15676,13482,18088,11092,19709,12711,15513,13195,12633,12914,9077,8729
AGAP006937,protein coding gene,ubiquitin-conjugating enzyme E2 variant,2002,1711,1532,2039,1868,1783,1425,2043,988,1866,2013,1739,1196,985,1288
AGAP006938,protein coding gene,Protein arginine N-methyltransferase 7 [Source:UniProtKB/Swiss-Prot;Acc:Q7QIL2],144,132,97,93,109,101,46,93,37,149,107,101,70,60,97
AGAP006939,protein coding gene,Armitage,5149,3923,4086,3592,4214,3471,2530,4321,1531,3982,4456,3833,2482,1974,2473
AGAP006940,protein coding gene,unspecified product,199,123,136,167,151,155,117,190,181,177,186,120,118,69,111
AGAP006941,protein coding gene,ATP-dependent RNA helicase DDX51/DBP6,560,424,394,539,525,485,420,534,297,423,435,478,280,316,380
AGAP006942,protein coding gene,Importin-4,3997,2819,2317,2893,2656,3359,1915,3164,1592,3018,2537,2668,2430,1852,2443
AGAP006943,protein coding gene,acetyl-coenzyme A transporter,407,307,270,202,229,230,133,354,92,391,373,287,168,121,200
AGAP006944,protein coding gene,Eukaryotic translation initiation factor 3 subunit E [Source:UniProtKB/Swiss-Prot;Acc:Q7QIL8],5919,5605,4508,4824,5437,4002,2726,5582,1186,5842,5810,5438,3099,2600,3679
AGAP006945,protein coding gene,DNA repair and recombination protein RAD54B,177,110,127,99,118,89,56,113,17,99,113,131,92,77,87
AGAP006946,protein coding gene,Prefoldin subunit 4 [Source:UniProtKB/TrEMBL;Acc:Q7QIM0],493,426,389,475,385,392,515,558,432,427,416,334,317,233,264
AGAP006947,protein coding gene,unspecified product,536,370,265,269,214,312,211,331,62,511,451,344,186,153,227
AGAP006948,protein coding gene,tubulin polymerization-promoting protein,1114,783,804,825,733,872,668,856,343,689,685,732,370,312,394
AGAP006949,protein coding gene,AFG3 family protein,1412,1416,1031,943,927,854,616,1295,281,1085,1130,1016,648,436,657
AGAP006950,protein coding gene,unspecified product,140,82,76,68,94,73,47,99,18,83,109,101,38,45,64
AGAP006951,protein coding gene,YIP1 family member 1,171,121,123,67,94,139,53,133,27,154,127,89,62,72,77
AGAP006952,protein coding gene,tRNA threonylcarbamoyladenosine biosynthesis protein KAE1,157,146,121,91,94,93,112,147,55,154,119,93,54,73,88
AGAP006953,protein coding gene,"28S ribosomal protein S34, mitochondrial",451,384,313,340,320,320,277,358,93,316,325,278,224,219,261
AGAP006954,protein coding gene,CLIP-domain serine protease,44,104,24,22,22,38,13,16,9,40,94,11,3,9,10
AGAP006955,protein coding gene,unspecified product,80,66,60,67,76,79,41,73,27,61,51,57,37,39,32
AGAP006956,protein coding gene,carboxylesterase,8,6,6,0,3,7,4,6,0,7,3,7,4,2,4
AGAP006958,protein coding gene,Heat shock protein 83 [Source:UniProtKB/Swiss-Prot;Acc:Q7PT10],5149,6290,5321,5304,4804,6244,8759,15327,7434,18869,15966,11671,5693,3504,4135
AGAP006959,protein coding gene,molecular chaperone HtpG,495,775,553,605,809,646,816,1653,350,3414,2874,1946,667,518,563
AGAP006960,protein coding gene,unspecified product,173,142,186,135,122,155,78,172,24,240,187,151,76,63,91
AGAP006961,protein coding gene,molecular chaperone HtpG,548,560,441,426,555,426,320,628,234,1172,1043,861,355,342,480
AGAP006962,protein coding gene,multiple inositol polyphosphate phosphatase,1073,894,730,541,405,706,392,1029,160,950,838,866,312,241,351
AGAP006963,protein coding gene,mitochondrial carrier homolog 1,565,467,393,390,363,366,222,419,135,464,420,361,225,212,291
AGAP006964,protein coding gene,pyroglutamyl-peptidase,127,92,174,211,178,225,132,124,117,128,120,139,107,74,108
AGAP006965,protein coding gene,Protein TRS85-like protein,571,454,455,332,366,413,176,441,125,444,461,389,232,217,273
AGAP006966,protein coding gene,"4-aminobutyrate aminotransferase, mitochondrial",1081,910,1002,736,765,838,403,724,160,519,664,749,549,421,653
AGAP006967,protein coding gene,unspecified product,1688,1629,1408,1419,1265,1662,799,1756,307,1106,1438,1282,1074,1043,1199
AGAP006968,protein coding gene,solute carrier family 4 member 1,31,11,28,29,40,32,5,6,9,14,13,13,26,17,33
AGAP006969,protein coding gene,"solute carrier family 35, member F5",375,351,306,333,316,291,169,322,49,392,412,347,200,203,207
AGAP006970,protein coding gene,unspecified product,214,236,284,149,143,248,117,189,75,198,354,193,103,139,161
AGAP006971,protein coding gene,unspecified product,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
AGAP006972,protein coding gene,unspecified product,2,7,3,1,0,1,1,1,0,1,6,0,0,0,2
AGAP006973,protein coding gene,unspecified product,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGAP006974,protein coding gene,TOLL-like receptor 9,94,103,64,102,112,101,74,130,12,116,213,97,92,60,103
AGAP006975,protein coding gene,unspecified product,253,219,194,88,95,143,153,123,58,149,412,166,33,31,34
AGAP006976,protein coding gene,unspecified product,16,15,13,6,3,3,15,48,5,13,18,37,0,6,1
AGAP006977,protein coding gene,unspecified product,16,20,29,48,36,20,17,21,20,33,23,21,23,27,18
AGAP006978,protein coding gene,unspecified product,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AGAP006979,protein coding gene,unspecified product,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGAP006980,protein coding gene,unspecified product,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
AGAP006981,protein coding gene,unspecified product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006982,protein coding gene,unspecified product,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0
AGAP006983,protein coding gene,unspecified product,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP006984,protein coding gene,unspecified product,0,2,2,1,3,0,0,0,0,8,11,1,0,0,1
AGAP006985,protein coding gene,unspecified product,1,2,4,0,1,2,0,0,0,5,1,0,0,0,0
AGAP006986,protein coding gene,unspecified product,1,2,0,0,0,2,1,0,0,1,1,0,0,0,0
AGAP006988,protein coding gene,"muscle, skeletal, receptor tyrosine kinase",291,201,164,148,149,198,107,204,69,142,192,139,107,73,109
AGAP006989,protein coding gene,Subito,220,142,100,108,146,145,84,135,29,125,117,94,92,105,153
AGAP006990,protein coding gene,AT-rich interactive domain-containing protein 2,1388,950,990,899,734,840,504,1126,270,1009,888,884,642,462,596
AGAP006991,protein coding gene,unspecified product,1,3,3,0,2,2,1,4,0,2,1,0,4,0,1
AGAP006992,protein coding gene,unspecified product,1286,1053,1029,958,1107,1068,618,1012,369,1210,1269,908,724,701,877
AGAP006993,protein coding gene,Leucine rich repeat containing 40,803,590,619,407,470,450,307,549,150,531,513,485,207,207,263
AGAP006994,protein coding gene,E3 ubiquitin-protein ligase HERC4,656,561,479,482,450,507,359,805,136,796,582,580,401,282,390
AGAP006995,protein coding gene,sphingosine kinase,1951,1506,1858,1639,1588,1537,1243,1784,826,1369,1681,1276,1033,915,1054
AGAP006996,protein coding gene,mitochondrial translation elongation factor TU,2546,2446,2110,1982,2034,1702,1269,2584,499,2382,2378,2208,1408,1055,1514
AGAP006997,protein coding gene,"alanyl-tRNA synthetase, mitochondrial",294,193,178,166,176,180,97,238,59,167,181,182,103,94,130
AGAP006998,protein coding gene,cohesin complex subunit SA-1/2,514,418,432,297,357,344,202,409,99,390,370,368,209,197,234
AGAP006999,protein coding gene,unspecified product,140,99,80,105,82,96,53,104,45,66,70,68,59,35,60
AGAP007000,protein coding gene,unspecified product,419,403,330,405,533,326,293,534,130,323,384,406,196,162,250
AGAP007001,protein coding gene,ubiquitin thioesterase OTU1,504,483,480,453,411,467,250,572,137,409,505,412,351,252,333
AGAP007002,protein coding gene,transcription initiation factor TFIIF subunit beta,265,265,184,226,175,212,257,332,246,295,262,280,146,125,164
AGAP007003,protein coding gene,unspecified product,269,181,169,124,174,157,165,238,82,282,302,223,89,100,119
AGAP007004,protein coding gene,unspecified product,0,2,1,2,0,2,0,3,0,0,0,3,1,0,0
AGAP007005,protein coding gene,unspecified product,392,411,396,375,346,350,230,468,250,307,440,296,272,188,271
AGAP007006,protein coding gene,filamin,4124,3148,3397,1950,2209,2633,935,2694,251,2936,3686,2547,1840,1728,2308
AGAP007007,protein coding gene,unspecified product,398,321,395,295,168,253,232,534,114,224,460,328,157,188,226
AGAP007008,protein coding gene,unspecified product,1051,616,761,597,532,825,550,727,682,443,437,449,409,308,308
AGAP007010,protein coding gene,unspecified product,1849,1539,1466,1256,1176,1326,518,1333,258,1288,1166,1138,824,679,929
AGAP007012,protein coding gene,unspecified product,583,423,476,287,338,414,273,417,112,436,633,358,216,183,290
AGAP007013,protein coding gene,unspecified product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP007014,protein coding gene,Amino_oxidase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GTW6],19,15,7,21,25,7,10,17,26,10,13,8,3,13,6
AGAP007015,protein coding gene,unspecified product,14,7,5,5,2,17,0,3,0,1,2,2,1,0,1
AGAP007016,protein coding gene,unspecified product,0,4,2,2,1,1,0,4,0,1,0,3,0,0,2
AGAP007017,protein coding gene,unspecified product,25,22,26,8,6,9,4,22,4,12,10,16,9,2,13
AGAP007018,protein coding gene,unspecified product,1293,936,914,825,673,898,914,1412,539,985,1434,858,716,524,589
AGAP007019,protein coding gene,strumpellin,857,647,628,594,570,532,312,720,90,771,722,667,376,323,387
AGAP007020,protein coding gene,thioredoxin peroxidase 5,320,235,250,256,252,212,211,307,193,259,260,234,239,183,228
AGAP007021,protein coding gene,unspecified product,74,63,52,38,37,59,20,66,12,67,59,45,30,34,52
AGAP007022,protein coding gene,unspecified product,681,570,556,450,395,545,295,584,132,554,532,514,305,231,305
AGAP007023,protein coding gene,Protein cueball [Source:UniProtKB/Swiss-Prot;Acc:Q7QIQ6],4722,4076,3977,3695,3537,2887,2539,5391,825,3157,5831,3975,2336,2199,2601
AGAP007024,protein coding gene,nuclear transport factor 2,382,313,235,254,252,230,205,407,92,452,410,326,207,158,234
AGAP007025,protein coding gene,Fanconi_A_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GTX6],42,38,34,26,30,23,17,29,8,58,36,21,17,11,27
AGAP007026,protein coding gene,copper chaperone for superoxide dismutase,194,171,104,113,116,121,121,205,60,246,187,179,72,75,106
AGAP007027,protein coding gene,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QIQ9],462,522,450,442,376,418,284,725,97,528,698,525,308,223,259
AGAP007028,protein coding gene,glucosyl/glucuronosyl transferases,867,684,644,586,705,718,201,633,81,508,649,688,571,421,565
AGAP007029,protein coding gene,glucosyl/glucuronosyl transferases,725,519,382,364,351,531,158,343,16,770,669,256,527,490,673
AGAP007031,protein coding gene,Scabrous protein,472,339,344,268,262,359,191,311,120,224,259,246,183,168,174
AGAP007032,protein coding gene,breast cancer 2 susceptibility protein,595,304,313,277,264,345,261,400,128,398,353,319,186,153,231
AGAP007033,protein coding gene,Anopheles Plasmodium-responsive Leucine-Rich Repeat 1C,3555,2035,2389,1691,1554,2923,2210,4549,1131,2571,4109,1971,610,842,981
AGAP007034,protein coding gene,leucine-rich immune protein (Short),1,2,1,0,2,1,1,0,0,4,1,1,1,1,0
AGAP007035,protein coding gene,Anopheles Plasmodium-responsive Leucine-Rich Repeat 1B,494,305,346,159,193,338,109,336,68,253,667,329,50,56,34
AGAP007036,protein coding gene,Anopheles Plasmodium-responsive Leucine-Rich Repeat 1A,170,319,251,249,254,368,314,504,77,284,604,272,94,116,152
AGAP007037,protein coding gene,leucine-rich immune protein (Long),603,385,349,354,361,367,204,490,50,444,394,353,285,238,375
AGAP007038,protein coding gene,krueppel-like factor 6/7,415,295,301,264,230,322,220,278,109,264,507,185,156,104,134
AGAP007039,protein coding gene,leucine-rich immune protein (Long),1806,1058,968,1065,912,1482,612,1910,270,861,1291,955,888,860,1022
AGAP007040,protein coding gene,cuticular protein RR-1 family 61,3,2,1,4,1,3,2,5,1,5,0,3,4,1,3
AGAP007041,protein coding gene,Angiopoietin-like salivary protein,35,57,28,5,5,9,3,5,2,29,9,1,0,10,32
AGAP007042,protein coding gene,cuticular protein RR-1 family 62,12,22,16,6,2,14,4,12,2,7,16,8,6,3,3
AGAP007043,protein coding gene,unspecified product,1113,771,914,648,585,964,461,1089,145,901,1323,745,260,353,366
AGAP007044,protein coding gene,potassium channel tetramerisation domain containing 1,36,22,34,19,13,24,5,24,4,13,25,16,12,13,26
AGAP007045,protein coding gene,leucine-rich immune protein (TM),494,415,474,191,153,235,170,602,92,775,453,532,99,143,121
AGAP007046,protein coding gene,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QIS7],388,295,288,215,204,249,94,279,62,209,213,237,164,148,136
AGAP007047,ncRNA gene,unspecified product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP007048,protein coding gene,unspecified product,78,42,65,41,32,91,17,48,8,43,41,27,27,89,73
AGAP007049,protein coding gene,unspecified product,2035,1592,1180,1128,1278,1469,926,1900,367,1568,852,1736,871,941,996
AGAP007050,protein coding gene,Nucleolar GTP-binding protein 1 [Source:UniProtKB/TrEMBL;Acc:Q7QIT0],4852,4694,5272,4613,5374,3550,2676,5411,1235,5248,6889,7347,4556,3981,5125
AGAP007051,protein coding gene,Piopio protein,2350,1704,1636,1304,1133,1985,731,1379,380,1340,1653,1076,815,810,822
AGAP007052,protein coding gene,unspecified product,2,5,4,2,4,2,2,2,2,8,7,3,2,2,2
AGAP007053,protein coding gene,unspecified product,886,799,636,502,485,537,273,614,107,518,343,550,398,222,323
AGAP007054,protein coding gene,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member",897,1181,1181,542,723,887,345,533,221,2703,1993,1041,248,758,508
AGAP007055,protein coding gene,sodium-dependent dicarboxylate transporter sdcS,3162,2400,2076,1569,1604,2041,722,2220,465,2901,3385,2363,1349,1271,1704
AGAP007056,protein coding gene,SIFamide,205,188,138,179,169,137,114,138,53,191,170,179,122,95,93
AGAP007057,protein coding gene,"Start1, isoform A",596,455,444,339,358,453,311,533,155,403,475,384,243,178,274
AGAP007058,protein coding gene,"homeobox protein DLX, invertebrate",205,179,175,207,156,214,170,234,195,214,226,149,128,85,123
AGAP007059,protein coding gene,unspecified product,1,0,2,4,11,5,1,8,1,2,4,4,2,4,1
AGAP007060,protein coding gene,unspecified product,30,8,12,10,21,34,4,18,1,13,10,11,9,11,6
AGAP007061,protein coding gene,unspecified product,2022,1182,1713,981,1220,1739,538,1237,211,857,928,1194,797,781,831
AGAP007062,protein coding gene,ecdysis-triggering hormone,6,10,12,4,5,11,2,14,3,24,12,10,6,6,3
AGAP007063,protein coding gene,Origin recognition complex subunit 4 [Source:UniProtKB/TrEMBL;Acc:Q7QIT4],91,71,45,37,30,34,29,84,7,103,111,68,40,28,56
AGAP007064,protein coding gene,unspecified product,1146,811,925,847,634,997,968,1052,680,765,711,711,524,299,361
AGAP007065,protein coding gene,transcription factor CP2 and related proteins,4623,3185,3679,3101,3151,4164,1912,3141,1094,3808,4458,2961,2779,2339,2670
AGAP007066,protein coding gene,tRNA-specific adenosine deaminase 3,203,169,140,140,164,142,104,183,72,198,174,140,96,91,119
AGAP007068,protein coding gene,RING finger protein 113A,100,95,55,56,53,69,42,77,43,64,58,68,46,48,53
AGAP007069,protein coding gene,Acyl_transf_3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GUU3],276,268,251,238,231,207,194,362,204,304,522,305,179,159,227
AGAP007070,protein coding gene,unspecified product,0,0,1,3,0,1,0,0,1,0,2,1,1,0,1
AGAP007071,protein coding gene,unspecified product,1,4,1,4,1,2,0,1,1,2,1,1,0,0,2
AGAP007072,protein coding gene,unspecified product,6,5,4,7,3,5,2,1,3,4,14,0,0,2,5
AGAP007073,protein coding gene,unspecified product,3,3,3,4,0,3,0,2,0,4,11,0,0,0,2
AGAP007074,protein coding gene,unspecified product,0,0,1,2,0,1,0,1,0,0,2,0,0,1,0
AGAP007075,protein coding gene,unspecified product,145,170,180,166,127,136,111,261,55,154,363,190,135,129,126
AGAP007076,protein coding gene,Acyl_transf_3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GU21],80,123,84,109,83,92,48,94,26,116,109,55,103,107,114
AGAP007077,protein coding gene,unspecified product,5,13,9,2,9,11,2,8,2,7,3,3,7,5,7
AGAP007078,protein coding gene,unspecified product,263,232,268,209,218,204,129,340,96,234,333,191,128,100,130
AGAP007079,protein coding gene,Acyl_transf_3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GUV1],83,66,116,54,85,45,27,102,19,53,86,47,18,34,38
AGAP007080,protein coding gene,hexosaminidase,1324,1035,929,817,778,967,790,1026,651,1066,1326,817,490,416,544
AGAP007081,protein coding gene,unspecified product,33,26,30,27,22,28,21,34,7,18,30,25,14,9,22
AGAP007082,protein coding gene,NADH dehydrogenase (ubiquinone) Fe-S protein 4,4370,3634,3996,3524,3620,3668,1480,3616,719,3313,3460,3318,2129,1853,2701
AGAP007083,protein coding gene,unspecified product,184,174,110,188,151,145,149,216,111,185,180,165,109,85,105
AGAP007084,protein coding gene,unspecified product,4,2,1,4,2,4,1,8,1,6,4,2,3,1,1
AGAP007085,protein coding gene,unspecified product,765,613,571,354,229,299,290,509,279,485,491,361,144,115,169
AGAP007086,protein coding gene,sodium channel protein,3046,2633,2598,2406,2402,2485,1666,2943,1755,2144,2019,1806,1639,1122,1379
AGAP007087,protein coding gene,60s ribosomal protein L41 [Source:UniProtKB/TrEMBL;Acc:Q52P89],26691,26043,20192,21295,24447,19125,13543,27898,8792,28601,30713,25930,12834,11503,19184
AGAP007088,protein coding gene,peptidyl-prolyl cis-trans isomerase B (cyclophilin B),1824,1423,1124,886,659,1045,988,1507,1280,1781,1651,1105,778,561,817
AGAP007089,protein coding gene,Chitin-binding type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GU41],1,1,2,7,1,0,0,3,3,1,3,2,2,1,1
AGAP007090,protein coding gene,unspecified product,4,1,0,4,1,1,0,3,0,1,0,0,1,0,1
AGAP007093,protein coding gene,collagen type IV alpha-3-binding protein,1038,834,737,873,802,866,494,860,223,997,875,677,483,373,498
AGAP007094,protein coding gene,unspecified product,58,53,64,48,60,92,32,66,25,38,45,34,67,45,51
AGAP007095,protein coding gene,unspecified product,37,40,20,13,21,33,2,11,3,10,15,23,23,27,23
AGAP007096,protein coding gene,Ras-related protein Rab-43,163,155,107,138,113,130,82,131,36,141,139,122,71,77,81
AGAP007097,protein coding gene,translation initiation factor eIF-2B subunit beta,181,169,129,121,98,87,66,156,23,128,142,114,75,46,100
AGAP007098,protein coding gene,unspecified product,179,161,165,180,134,177,187,291,182,222,214,177,134,94,112
AGAP007099,protein coding gene,unspecified product,3,7,2,14,3,7,6,6,9,0,1,1,1,1,2
AGAP007100,protein coding gene,unspecified product,63,45,52,41,37,41,15,52,11,52,52,25,11,12,15
AGAP007101,protein coding gene,unspecified product,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGAP007102,protein coding gene,CWF19-like protein 1 homolog,191,158,108,151,131,124,140,205,61,178,147,125,97,63,92
AGAP007103,protein coding gene,calsyntenin-1,8172,6848,7129,8355,6843,7885,5590,7231,5803,6556,7158,6221,4978,3747,4629
AGAP007104,protein coding gene,farnesyl diphosphate synthase,9328,8848,8274,5546,4766,4581,6476,10107,5287,7964,9668,6888,3117,3110,3981
AGAP007105,protein coding gene,unspecified product,7,7,2,6,8,8,0,6,0,5,7,5,0,3,3
AGAP007106,protein coding gene,ubiquitin carboxyl-terminal hydrolase 47,3925,2883,2866,2875,2811,3044,2144,3647,933,3255,3934,2998,2248,1584,2472
AGAP007107,protein coding gene,DnaJ homolog subfamily B member 4,1103,980,844,1606,1374,2112,3057,4650,2119,3672,4123,3542,3026,1728,2127
AGAP007108,protein coding gene,multiple PDZ domain protein,1373,1016,1123,1047,1006,1045,669,1053,614,923,952,813,673,448,594
AGAP007109,protein coding gene,unspecified product,4,1,1,2,3,2,0,4,1,0,0,1,0,1,2
AGAP007110,protein coding gene,protein vein,637,435,704,839,832,679,466,653,463,593,981,831,494,199,299
